geom_x_y;geom;C_NAT_B;L_NAT_B;C_SRC;L_SRC;M2;NB_PL;M2_PL_TOT;B_RDC;C_PLAN_H_I;Y;L_PLAN_H_I;X;D_CRE;L_B_U;D_MAJ;N_AR;L_PLAN_H;H_ET_MAX;N_QU;OBJECTID;Identifiant s?quentiel;Arrondissement contenant le bati;Parcelle contenant le bati;Quartier contenant le bati;AREA;SHAPE.AREA;SHAPE.LEN;dist
48.8274796698,2.38458633542;"{""type"": ""Polygon"", ""coordinates"": [[[2.38461935101913, 48.82753330722759], [2.384628217027156, 48.827532989502515], [2.3846363958367522, 48.82753065095026], [2.384645732926233, 48.82752608251942], [2.384652326040948, 48.82752179316423], [2.384656649382123, 48.827517191739766], [2.3846610231503442, 48.82751039520838], [2.38466170017297, 48.827501160346245], [2.3846595300456173, 48.827494714176034], [2.3846568869734233, 48.827489906925564], [2.384651922306437, 48.82748583150989], [2.384644105454289, 48.827480816864174], [2.384636766433263, 48.827477788690516], [2.384629481798523, 48.82747615392299], [2.384622830912725, 48.827475528812954], [2.3846147562394, 48.82747539282936], [2.384604096304909, 48.82747686151168], [2.384597659243542, 48.827478431967464], [2.384591275760087, 48.827481117919454], [2.384570429741702, 48.82747103121795], [2.384564292829435, 48.8274680613895], [2.384626028289865, 48.82741133372302], [2.384605980177239, 48.8274017376928], [2.384599619398239, 48.827398692965495], [2.384590133231389, 48.82740735276743], [2.384491575487986, 48.827497325948926], [2.384502471066941, 48.827502550714016], [2.384490396493715, 48.82751330891048], [2.384495045310945, 48.82751552280666], [2.38450719147041, 48.82750446998423], [2.3845183543743262, 48.82750978156396], [2.384548210954412, 48.827482266947136], [2.384554935749008, 48.82748540078928], [2.384576016445481, 48.82749522428569], [2.384573845038873, 48.827504696086415], [2.384575044805671, 48.82751060663542], [2.384577439054112, 48.82751606734975], [2.384581597086672, 48.82752085451733], [2.384586015415385, 48.827524477438544], [2.384592041213091, 48.827527975524475], [2.384603039948636, 48.827531501897994], [2.384612013974757, 48.82753299606446], [2.38461935101913, 48.82753330722759]]]}";V;Volume bâti simple;T;Fiche parcellaire et terrain certifié;70.303737;4.0;281.2149478;1.0;2.0;125224.4178452;Bâti de 1 à 3 étages;603527.9579945;2010-07-21T04:00:00+02:00;;2010-07-21T04:00:00+02:00;13;R+3;3.0;50.0;536092;750169268;750000013;750031416;750000050;;0.0;0.0;
48.8272100647,2.38474285824;"{""type"": ""Polygon"", ""coordinates"": [[[2.384753219690729, 48.82722001182662], [2.384761632106771, 48.82721264787777], [2.384739182508318, 48.827203171721116], [2.3847246454617173, 48.82720248715756], [2.384721921583155, 48.82720510470582], [2.384753219690729, 48.82722001182662]]]}";U;Volume bâti avec surplomb;T;Fiche parcellaire et terrain certifié;2.4607337;4.0;9.8429349;0.0;3.0;125193.0588305;Bâti de 4 à 8 étages;603540.4980132;2010-07-21T04:00:00+02:00;5a8;2010-07-21T04:00:00+02:00;13;;8.0;50.0;536130;750169701;750000013;750031416;750000050;;0.0;0.0;
48.8273010209,2.38492552923;"{""type"": ""Polygon"", ""coordinates"": [[[2.38493013983904, 48.82731616714825], [2.384948817338635, 48.82729923270249], [2.384920814855553, 48.82728588590648], [2.384902291531706, 48.82730279865675], [2.38493013983904, 48.82731616714825]]]}";U;Volume bâti avec surplomb;T;Fiche parcellaire et terrain certifié;5.8869825;9.0;52.9828427;1.0;4.0;125203.050906;Bâti de 9 à 12 étages;603553.6319008;2010-07-21T04:00:00+02:00;Ra1_et_3a9;2010-07-21T04:00:00+02:00;13;;9.0;50.0;536134;750169705;750000013;750031416;750000050;;0.0;0.0;
48.8265759792,2.38334808945;"{""type"": ""Polygon"", ""coordinates"": [[[2.383544389293664, 48.82664646191223], [2.38323499859472, 48.82652338843798], [2.383220170085687, 48.82653906806939], [2.383498424610402, 48.82663544598871], [2.383544389293664, 48.82664646191223]]]}";U;Volume bâti avec surplomb;T;Fiche parcellaire et terrain certifié;32.8244521;7.0;229.7711644;0.0;3.0;125123.3485495;Bâti de 4 à 8 étages;603439.5574915;2010-07-21T04:00:00+02:00;2a8;2010-07-21T04:00:00+02:00;13;;8.0;50.0;536186;750170552;750000013;750031406;750000050;;0.0;0.0;
48.8266372135,2.383078127;"{""type"": ""Polygon"", ""coordinates"": [[[2.3830385512817402, 48.82669518776206], [2.383153687424757, 48.826594497958666], [2.383112960264251, 48.8265794563283], [2.38303589641302, 48.82665283340877], [2.383025496400361, 48.82666273580811], [2.383000808615801, 48.82668623945104], [2.3830385512817402, 48.82669518776206]]]}";U;Volume bâti avec surplomb;T;Fiche parcellaire et terrain certifié;44.3590421;7.0;310.5132946;0.0;4.0;125129.1702309;Bâti de 9 à 12 étages;603417.9748925;2010-07-21T04:00:00+02:00;3a9;2010-07-21T04:00:00+02:00;13;;9.0;50.0;536243;750171402;750000013;750031406;750000050;;0.0;0.0;
48.8266303998,2.3831146418;"{""type"": ""Polygon"", ""coordinates"": [[[2.383038822949116, 48.826695252119684], [2.383157907969227, 48.82659605675585], [2.383153687424757, 48.826594497958666], [2.3830385512817402, 48.82669518776206], [2.383038822949116, 48.826695252119684]]]}";U;Volume bâti avec surplomb;T;Fiche parcellaire et terrain certifié;2.6084133;6.0;15.6504799;0.0;3.0;125129.9470271;Bâti de 4 à 8 étages;603419.5150315;2010-07-21T04:00:00+02:00;3a8;2010-07-21T04:00:00+02:00;13;;8.0;50.0;536244;750171403;750000013;750031406;750000050;;0.0;0.0;
48.826656149,2.38310221385;"{""type"": ""Polygon"", ""coordinates"": [[[2.383058687224778, 48.82669996208207], [2.383144772055544, 48.82661799574636], [2.383149529111281, 48.82661346765992], [2.383145945988593, 48.82661214418845], [2.383054705950134, 48.82669901788791], [2.383058687224778, 48.82669996208207]]]}";U;Volume bâti avec surplomb;T;Fiche parcellaire et terrain certifié;3.5190415;4.0;14.076166;0.0;3.0;125131.2659549;Bâti de 4 à 8 étages;603419.7997575;2010-07-21T04:00:00+02:00;3a6;2010-07-21T04:00:00+02:00;13;;6.0;50.0;536247;750171802;750000013;750031406;750000050;;0.0;0.0;
48.8266730572,2.38333863621;"{""type"": ""Polygon"", ""coordinates"": [[[2.38351222440612, 48.826747420640146], [2.383527749099538, 48.82673264933293], [2.383165045737739, 48.82659869275863], [2.383149529111281, 48.82661346765992], [2.38351222440612, 48.826747420640146]]]}";V;Volume bâti simple;T;Fiche parcellaire et terrain certifié;60.7208007;2.0;121.4416013;1.0;2.0;125133.1465075;Bâti de 1 à 3 étages;603437.1639927;2010-07-21T04:00:00+02:00;;2010-07-21T04:00:00+02:00;13;R+1;1.0;50.0;536257;750171812;750000013;750031406;750000050;;0.0;0.0;
48.82668271,2.38332850236;"{""type"": ""Polygon"", ""coordinates"": [[[2.3835074646454872, 48.8267519487264], [2.38351222440612, 48.826747420640146], [2.383149529111281, 48.82661346765992], [2.383144772055544, 48.82661799574636], [2.3835074646454872, 48.8267519487264]]]}";U;Volume bâti avec surplomb;T;Fiche parcellaire et terrain certifié;18.6126615;1.0;18.6126615;0.0;2.0;125134.2192525;Bâti de 1 à 3 étages;603436.4189988;2010-07-21T04:00:00+02:00;encorbt_au_1;2010-07-21T04:00:00+02:00;13;;1.0;50.0;536258;750171813;750000013;750031406;750000050;;0.0;0.0;
48.8268559363,2.38288535505;"{""type"": ""Polygon"", ""coordinates"": [[[2.3828879690602323, 48.82685777372084], [2.382884727932288, 48.82685436995967], [2.382883368158811, 48.82685566523406], [2.3828879690602323, 48.82685777372084]]]}";V;Volume bâti simple;T;Fiche parcellaire et terrain certifié;0.0360484;8.0;0.288387;1.0;3.0;125153.462265;Bâti de 4 à 8 étages;603403.8712487;2010-07-21T04:00:00+02:00;;2010-07-21T04:00:00+02:00;13;R+7;7.0;50.0;536313;750172665;750000013;750031409;750000050;;0.0;0.0;
